"","X","Y"
"443","ENSG00000127603","MACF1"
"444","ENSG00000090621","PABPC4"
"445","ENSG00000228060","PABPC4-AS1"
"446","ENSG00000163909","HEYL"
"447","ENSG00000084072","PPIE"
"448","ENSG00000116985","BMP8B"
"449","ENSG00000043514","TRIT1"
"450","ENSG00000116990","MYCL"
"451","ENSG00000168389","MFSD2A"
"452","ENSG00000131236","CAP1"
"453","ENSG00000131238","PPT1"
"454","ENSG00000117000","RLF"
"455","ENSG00000259943",""
"456","ENSG00000084073","ZMPSTE24"
"457","ENSG00000049089","COL9A2"
"458","ENSG00000084070","SMAP2"
"459","ENSG00000187801","ZFP69B"
"460","ENSG00000260920",""
"461","ENSG00000187815","ZFP69"
"462","ENSG00000238287",""
"463","ENSG00000164002","EXO5"
"464","ENSG00000238186",""
"465","ENSG00000117010","ZNF684"
"466","ENSG00000117016","RIMS3"
"467","ENSG00000272145","NFYC-AS1"
"468","ENSG00000066136","NFYC"
"469","ENSG00000117013","KCNQ4"
"470","ENSG00000179862","CITED4"
"471","ENSG00000171793","CTPS1"
"472","ENSG00000281207","SLFNL1-AS1"
"473","ENSG00000171790","SLFNL1"
"474","ENSG00000010803","SCMH1"
"475","ENSG00000204060","FOXO6"
"476","ENSG00000127129","EDN2"
"477","ENSG00000127124","HIVEP3"
"478","ENSG00000198815","FOXJ3"
"479","ENSG00000177181","RIMKLA"
"480","ENSG00000066185","ZMYND12"
"481","ENSG00000127125","PPCS"
"482","ENSG00000186409","CCDC30"
"483","ENSG00000171960","PPIH"
"484","ENSG00000065978","YBX1"
"485","ENSG00000117385","P3H1"
"486","ENSG00000164008","C1orf50"
"487","ENSG00000228452",""
"488","ENSG00000177868","SVBP"
"489","ENSG00000164010","ERMAP"
"490","ENSG00000164011","ZNF691"
"491","ENSG00000117394","SLC2A1"
"492","ENSG00000227533","SLC2A1-AS1"
"493","ENSG00000186973","FAM183A"
"494","ENSG00000117395","EBNA1BP2"
"495","ENSG00000243710","CFAP57"
"496","ENSG00000234694",""
"497","ENSG00000117399","CDC20"
"498","ENSG00000066322","ELOVL1"
"499","ENSG00000159479","MED8"
"500","ENSG00000229431",""
"501","ENSG00000198198","SZT2"
"502","ENSG00000178922","HYI"
"503","ENSG00000142949","PTPRF"
"504","ENSG00000066135","KDM4A"
"505","ENSG00000236200","KDM4A-AS1"
"506","ENSG00000126091","ST3GAL3"
"507","ENSG00000117407","ARTN"
"508","ENSG00000117408","IPO13"
"509","ENSG00000132768","DPH2"
"510","ENSG00000117410","ATP6V0B"
"511","ENSG00000117411","B4GALT2"
"512","ENSG00000159214","CCDC24"
"513","ENSG00000196517","SLC6A9"
"514","ENSG00000230615",""
"515","ENSG00000171872","KLF17"
"516","ENSG00000233514",""
"517","ENSG00000178028","DMAP1"
"518","ENSG00000117419","ERI3"
"519","ENSG00000187147","RNF220"
"520","ENSG00000126106","TMEM53"
"521","ENSG00000142945","KIF2C"
"522","ENSG00000142937","RPS8"
"523","ENSG00000200913","SNORD46"
"524","ENSG00000173846","PLK3"
"525","ENSG00000222009","BTBD19"
"526","ENSG00000117425","PTCH2"
"527","ENSG00000070785","EIF2B3"
"528","ENSG00000126107","HECTD3"
"529","ENSG00000126088","UROD"
"530","ENSG00000162415","ZSWIM5"
"531","ENSG00000132781","MUTYH"
"532","ENSG00000132773","TOE1"
"533","ENSG00000070759","TESK2"
"534","ENSG00000280670","CCDC163"
"535","ENSG00000132763","MMACHC"
"536","ENSG00000117450","PRDX1"
"537","ENSG00000117448","AKR1A1"
"538","ENSG00000132780","NASP"
"539","ENSG00000159588","CCDC17"
"540","ENSG00000159592","GPBP1L1"
"541","ENSG00000225447","RPS15AP10"
"542","ENSG00000234329",""
"543","ENSG00000159596","TMEM69"
"544","ENSG00000197429","IPP"
"545","ENSG00000230896",""
"546","ENSG00000086015","MAST2"
"547","ENSG00000117461","PIK3R3"
"548","ENSG00000117472","TSPAN1"
"549","ENSG00000085998","POMGNT1"
"550","ENSG00000085999","RAD54L"
"551","ENSG00000132128","LRRC41"
"552","ENSG00000173660","UQCRH"
"553","ENSG00000117481","NSUN4"
"554","ENSG00000117480","FAAH"
"555","ENSG00000269956","MKNK1-AS1"
"556","ENSG00000079277","MKNK1"
"557","ENSG00000142961","MOB3C"
"558","ENSG00000123472","ATPAF1"
"559","ENSG00000159658","EFCAB14"
"560","ENSG00000123473","STIL"
"561","ENSG00000162368","CMPK1"
"562","ENSG00000225762","LINC01389"
"563","ENSG00000237424","FOXD2-AS1"
"564","ENSG00000186564","FOXD2"
"565","ENSG00000132122","SPATA6"
"566","ENSG00000185104","FAF1"
"567","ENSG00000123080","CDKN2C"
"568","ENSG00000123091","RNF11"
"569","ENSG00000085831","TTC39A"
"570","ENSG00000085832","EPS15"
"571","ENSG00000117859","OSBPL9"
"572","ENSG00000078618","NRDC"
"573","ENSG00000266993",""
"574","ENSG00000169213","RAB3B"
"575","ENSG00000117862","TXNDC12"
"576","ENSG00000198841","KTI12"
"577","ENSG00000134717","BTF3L4"
"578","ENSG00000157077","ZFYVE9"
"579","ENSG00000154222","CC2D1B"
"580","ENSG00000085840","ORC1"
"581","ENSG00000134748","PRPF38A"
"582","ENSG00000134744","TUT4"
"583","ENSG00000116157","GPX7"
"584","ENSG00000162377","COA7"
"585","ENSG00000162378","ZYG11B"
"586","ENSG00000228929","RPS13P2"
"587","ENSG00000203995","ZYG11A"
"588","ENSG00000121310","ECHDC2"
"589","ENSG00000230953",""
"590","ENSG00000116171","SCP2"
"591","ENSG00000157184","CPT2"
"592","ENSG00000162384","CZIB"
"593","ENSG00000162385","MAGOH"
"594","ENSG00000157193","LRP8"
"595","ENSG00000232762",""
"596","ENSG00000058804","NDC1"
"597","ENSG00000058799","YIPF1"
"598","ENSG00000081870","HSPB11"
"599","ENSG00000116212","LRRC42"
"600","ENSG00000219102","HNRNPA3P12"
"601","ENSG00000116209","TMEM59"
"602","ENSG00000116205","TCEANC2"
"603","ENSG00000215883","CYB5RL"
"604","ENSG00000116221","MRPL37"
"605","ENSG00000157216","SSBP3"
"606","ENSG00000198711","SSBP3-AS1"
"607","ENSG00000243725","TTC4"
"608","ENSG00000162396","PARS2"
"609","ENSG00000116133","DHCR24"
"610","ENSG00000169174","PCSK9"
"611","ENSG00000162402","USP24"
"612","ENSG00000162407","PLPP3"
"613","ENSG00000162409","PRKAA2"
"614","ENSG00000162600","OMA1"
"615","ENSG00000184292","TACSTD2"
"616","ENSG00000162601","MYSM1"
"617",NA,NA
"618","ENSG00000177606","JUN"
"619","ENSG00000237352","LINC01358"
"620","ENSG00000172456","FGGY"
"621","ENSG00000134709","HOOK1"
"622","ENSG00000134716","CYP2J2"
"623","ENSG00000162599","NFIA"
"624","ENSG00000162604","TM2D1"
"625","ENSG00000132849","PATJ"
